"symbol","pair","expiry","nomismaSymbol","classification"
"LTC0527","LTC/USD","May22","LTC/USD - May22","Pair"
"LTC0624","LTC/USD","Jun22","LTC/USD - Jun22","Pair"
"LTC0729","LTC/USD","Jul22","LTC/USD - Jul22","Pair"
"LTC0826","LTC/USD","Aug22","LTC/USD - Aug22","Pair"
"LTC0930","LTC/USD","Sep22","LTC/USD - Sep22","Pair"
"LTC1028","LTC/USD","Oct22","LTC/USD - Oct22","Pair"
"LTC1125","LTC/USD","Nov22","LTC/USD - Nov22","Pair"
"LTC1230","LTC/USD","Dec22","LTC/USD - Dec22","Pair"
"LTC0127","LTC/USD","Jan23","LTC/USD - Jan23","Pair"
"LTC0224","LTC/USD","Feb23","LTC/USD - Feb23","Pair"
"LTC0331","LTC/USD","Mar23","LTC/USD - Mar23","Pair"
"LTC0428","LTC/USD","Apr23","LTC/USD - Apr23","Pair"
"LTC0526","LTC/USD","May23","LTC/USD - May23","Pair"
"LTC0630","LTC/USD","Jun23","LTC/USD - Jun23","Pair"
"LTC0728","LTC/USD","Jul23","LTC/USD - Jul23","Pair"
"LTC0825","LTC/USD","Aug23","LTC/USD - Aug23","Pair"
"LTC0929","LTC/USD","Sep23","LTC/USD - Sep23","Pair"
"LTC1027","LTC/USD","Oct23","LTC/USD - Oct23","Pair"
"LTC1124","LTC/USD","Nov23","LTC/USD - Nov23","Pair"
"LTC1229","LTC/USD","Dec23","LTC/USD - Dec23","Pair"
"ETH Swap","ETH/USD","Perpetual","ETH/USD - Perpetual","Pair"
"ETH0830","ETH/USD","Aug19","ETH/USD - Aug19","Pair"
"ETH0927","ETH/USD","Sep19","ETH/USD - Sep19","Pair"
"ETH1025","ETH/USD","Oct19","ETH/USD - Oct19","Pair"
"ETH1129","ETH/USD","Nov19","ETH/USD - Nov19","Pair"
"ETH1227","ETH/USD","Dec19","ETH/USD - Dec19","Pair"
"ETH0131","ETH/USD","Jan20","ETH/USD - Jan20","Pair"
"ETH0228","ETH/USD","Feb20","ETH/USD - Feb20","Pair"
"ETH0327","ETH/USD","Mar20","ETH/USD - Mar20","Pair"
"ETH0424","ETH/USD","Apr20","ETH/USD - Apr20","Pair"
"ETH0529","ETH/USD","May20","ETH/USD - May20","Pair"
"ETH0626","ETH/USD","Jun20","ETH/USD - Jun20","Pair"
"ETH0731","ETH/USD","Jul20","ETH/USD - Jul20","Pair"
"ETH0828","ETH/USD","Aug20","ETH/USD - Aug20","Pair"
"ETH0925","ETH/USD","Sep20","ETH/USD - Sep20","Pair"
"ETH1030","ETH/USD","Oct20","ETH/USD - Oct20","Pair"
"ETH1127","ETH/USD","Nov20","ETH/USD - Nov20","Pair"
"ETH1225","ETH/USD","Dec20","ETH/USD - Dec20","Pair"
"ETH0129","ETH/USD","Jan21","ETH/USD - Jan21","Pair"
"ETH0226","ETH/USD","Feb21","ETH/USD - Feb21","Pair"
"ETH0326","ETH/USD","Mar21","ETH/USD - Mar21","Pair"
"ETH0430","ETH/USD","Apr21","ETH/USD - Apr21","Pair"
"ETH0528","ETH/USD","May21","ETH/USD - May21","Pair"
"ETH0625","ETH/USD","Jun21","ETH/USD - Jun21","Pair"
"ETH0730","ETH/USD","Jul21","ETH/USD - Jul21","Pair"
"ETH0827","ETH/USD","Aug21","ETH/USD - Aug21","Pair"
"ETH0924","ETH/USD","Sep21","ETH/USD - Sep21","Pair"
"ETH1029","ETH/USD","Oct21","ETH/USD - Oct21","Pair"
"ETH1126","ETH/USD","Nov21","ETH/USD - Nov21","Pair"
"ETH1231","ETH/USD","Dec21","ETH/USD - Dec21","Pair"
"ETH0128","ETH/USD","Jan22","ETH/USD - Jan22","Pair"
"ETH0225","ETH/USD","Feb22","ETH/USD - Feb22","Pair"
"ETH0325","ETH/USD","Mar22","ETH/USD - Mar22","Pair"
"ETH0429","ETH/USD","Apr22","ETH/USD - Apr22","Pair"
"ETH0527","ETH/USD","May22","ETH/USD - May22","Pair"
"ETH0624","ETH/USD","Jun22","ETH/USD - Jun22","Pair"
"ETH0729","ETH/USD","Jul22","ETH/USD - Jul22","Pair"
"ETH0826","ETH/USD","Aug22","ETH/USD - Aug22","Pair"
"ETH0930","ETH/USD","Sep22","ETH/USD - Sep22","Pair"
"ETH1028","ETH/USD","Oct22","ETH/USD - Oct22","Pair"
"ETH1125","ETH/USD","Nov22","ETH/USD - Nov22","Pair"
"ETH1230","ETH/USD","Dec22","ETH/USD - Dec22","Pair"
"ETH0127","ETH/USD","Jan23","ETH/USD - Jan23","Pair"
"ETH0224","ETH/USD","Feb23","ETH/USD - Feb23","Pair"
"ETH0331","ETH/USD","Mar23","ETH/USD - Mar23","Pair"
"ETH0428","ETH/USD","Apr23","ETH/USD - Apr23","Pair"
"ETH0526","ETH/USD","May23","ETH/USD - May23","Pair"
"ETH0630","ETH/USD","Jun23","ETH/USD - Jun23","Pair"
"ETH0728","ETH/USD","Jul23","ETH/USD - Jul23","Pair"
"ETH0825","ETH/USD","Aug23","ETH/USD - Aug23","Pair"
"ETH0929","ETH/USD","Sep23","ETH/USD - Sep23","Pair"
"ETH1027","ETH/USD","Oct23","ETH/USD - Oct23","Pair"
"ETH1124","ETH/USD","Nov23","ETH/USD - Nov23","Pair"
"ETH1229","ETH/USD","Dec23","ETH/USD - Dec23","Pair"
"ETC Swap","ETC/USD","Perpetual","ETC/USD - Perpetual","Pair"
