Kraken API symbol,Name,Contract,Symbol - Nomisma,Classification
fi_ethusd_210924,ETH/USD,Sep21,ETH/USD - Sep21,Pair
fi_ethusd_211029,ETH/USD,Oct21,ETH/USD - Oct21,Pair
fi_ethusd_211126,ETH/USD,Nov21,ETH/USD - Nov21,Pair
fi_ethusd_211231,ETH/USD,Dec21,ETH/USD - Dec21,Pair
fi_ethusd_220128,ETH/USD,Jan22,ETH/USD - Jan22,Pair
fi_ethusd_220225,ETH/USD,Feb22,ETH/USD - Feb22,Pair
fi_ethusd_220325,ETH/USD,Mar22,ETH/USD - Mar22,Pair
fi_ethusd_220429,ETH/USD,Apr22,ETH/USD - Apr22,Pair
fi_ethusd_220527,ETH/USD,May22,ETH/USD - May22,Pair
fi_ethusd_220624,ETH/USD,Jun22,ETH/USD - Jun22,Pair
fi_ethusd_220729,ETH/USD,Jul22,ETH/USD - Jul22,Pair
fi_ethusd_220826,ETH/USD,Aug22,ETH/USD - Aug22,Pair
fi_ethusd_220930,ETH/USD,Sep22,ETH/USD - Sep22,Pair
fi_ethusd_221028,ETH/USD,Oct22,ETH/USD - Oct22,Pair
fi_ethusd_221125,ETH/USD,Nov22,ETH/USD - Nov22,Pair
fi_ethusd_221230,ETH/USD,Dec22,ETH/USD - Dec22,Pair
fi_ethusd_230127,ETH/USD,Jan23,ETH/USD - Jan23,Pair
fi_ethusd_230224,ETH/USD,Feb23,ETH/USD - Feb23,Pair
fi_ethusd_230331,ETH/USD,Mar23,ETH/USD - Mar23,Pair
fi_ethusd_230428,ETH/USD,Apr23,ETH/USD - Apr23,Pair
fi_ethusd_230526,ETH/USD,May23,ETH/USD - May23,Pair
fi_ethusd_230630,ETH/USD,Jun23,ETH/USD - Jun23,Pair
fi_ethusd_230728,ETH/USD,Jul23,ETH/USD - Jul23,Pair
fi_ethusd_230825,ETH/USD,Aug23,ETH/USD - Aug23,Pair
fi_ethusd_230929,ETH/USD,Sep23,ETH/USD - Sep23,Pair
fi_ethusd_231027,ETH/USD,Oct23,ETH/USD - Oct23,Pair
fi_ethusd_231124,ETH/USD,Nov23,ETH/USD - Nov23,Pair
fi_ethusd_231229,ETH/USD,Dec23,ETH/USD - Dec23,Pair
pi_ltcusd,LTC/USD,Perpetual,LTC/USD - Perpetual,Pair
fi_ltcusd_190830,LTC/USD,Aug19,LTC/USD - Aug19,Pair
fi_ltcusd_190927,LTC/USD,Sep19,LTC/USD - Sep19,Pair
fi_ltcusd_191025,LTC/USD,Oct19,LTC/USD - Oct19,Pair
fi_ltcusd_191129,LTC/USD,Nov19,LTC/USD - Nov19,Pair
fi_ltcusd_191227,LTC/USD,Dec19,LTC/USD - Dec19,Pair
fi_ltcusd_200131,LTC/USD,Jan20,LTC/USD - Jan20,Pair
fi_ltcusd_200228,LTC/USD,Feb20,LTC/USD - Feb20,Pair
fi_ltcusd_200327,LTC/USD,Mar20,LTC/USD - Mar20,Pair
fi_ltcusd_200424,LTC/USD,Apr20,LTC/USD - Apr20,Pair
fi_ltcusd_200529,LTC/USD,May20,LTC/USD - May20,Pair
fi_ltcusd_200626,LTC/USD,Jun20,LTC/USD - Jun20,Pair
fi_ltcusd_200731,LTC/USD,Jul20,LTC/USD - Jul20,Pair
fi_ltcusd_200828,LTC/USD,Aug20,LTC/USD - Aug20,Pair
fi_ltcusd_200925,LTC/USD,Sep20,LTC/USD - Sep20,Pair
fi_ltcusd_201030,LTC/USD,Oct20,LTC/USD - Oct20,Pair
fi_ltcusd_201127,LTC/USD,Nov20,LTC/USD - Nov20,Pair
fi_ltcusd_201225,LTC/USD,Dec20,LTC/USD - Dec20,Pair
fi_ltcusd_210129,LTC/USD,Jan21,LTC/USD - Jan21,Pair
fi_ltcusd_210226,LTC/USD,Feb21,LTC/USD - Feb21,Pair
fi_ltcusd_210326,LTC/USD,Mar21,LTC/USD - Mar21,Pair
fi_ltcusd_210430,LTC/USD,Apr21,LTC/USD - Apr21,Pair
fi_ltcusd_210528,LTC/USD,May21,LTC/USD - May21,Pair
fi_ltcusd_210625,LTC/USD,Jun21,LTC/USD - Jun21,Pair
fi_ltcusd_210730,LTC/USD,Jul21,LTC/USD - Jul21,Pair
fi_ltcusd_210827,LTC/USD,Aug21,LTC/USD - Aug21,Pair
fi_ltcusd_210924,LTC/USD,Sep21,LTC/USD - Sep21,Pair
fi_ltcusd_211029,LTC/USD,Oct21,LTC/USD - Oct21,Pair
fi_ltcusd_211126,LTC/USD,Nov21,LTC/USD - Nov21,Pair
fi_ltcusd_211231,LTC/USD,Dec21,LTC/USD - Dec21,Pair
fi_ltcusd_220128,LTC/USD,Jan22,LTC/USD - Jan22,Pair
fi_ltcusd_220225,LTC/USD,Feb22,LTC/USD - Feb22,Pair
fi_ltcusd_220325,LTC/USD,Mar22,LTC/USD - Mar22,Pair
fi_ltcusd_220429,LTC/USD,Apr22,LTC/USD - Apr22,Pair
fi_ltcusd_220527,LTC/USD,May22,LTC/USD - May22,Pair
fi_ltcusd_220624,LTC/USD,Jun22,LTC/USD - Jun22,Pair
fi_ltcusd_220729,LTC/USD,Jul22,LTC/USD - Jul22,Pair
fi_ltcusd_220826,LTC/USD,Aug22,LTC/USD - Aug22,Pair
fi_ltcusd_220930,LTC/USD,Sep22,LTC/USD - Sep22,Pair
fi_ltcusd_221028,LTC/USD,Oct22,LTC/USD - Oct22,Pair
fi_ltcusd_221125,LTC/USD,Nov22,LTC/USD - Nov22,Pair
fi_ltcusd_221230,LTC/USD,Dec22,LTC/USD - Dec22,Pair
fi_ltcusd_230127,LTC/USD,Jan23,LTC/USD - Jan23,Pair
fi_ltcusd_230224,LTC/USD,Feb23,LTC/USD - Feb23,Pair
fi_ltcusd_230331,LTC/USD,Mar23,LTC/USD - Mar23,Pair
fi_ltcusd_230428,LTC/USD,Apr23,LTC/USD - Apr23,Pair
fi_ltcusd_230526,LTC/USD,May23,LTC/USD - May23,Pair
fi_ltcusd_230630,LTC/USD,Jun23,LTC/USD - Jun23,Pair
fi_ltcusd_230728,LTC/USD,Jul23,LTC/USD - Jul23,Pair
fi_ltcusd_230825,LTC/USD,Aug23,LTC/USD - Aug23,Pair
fi_ltcusd_230929,LTC/USD,Sep23,LTC/USD - Sep23,Pair
fi_ltcusd_231027,LTC/USD,Oct23,LTC/USD - Oct23,Pair
fi_ltcusd_231124,LTC/USD,Nov23,LTC/USD - Nov23,Pair
fi_ltcusd_231229,LTC/USD,Dec23,LTC/USD - Dec23,Pair
pi_bchusd,BCH/USD,Perpetual,BCH/USD - Perpetual,Pair
fi_bchusd_190830,BCH/USD,Aug19,BCH/USD - Aug19,Pair
fi_bchusd_190927,BCH/USD,Sep19,BCH/USD - Sep19,Pair
fi_bchusd_191025,BCH/USD,Oct19,BCH/USD - Oct19,Pair
fi_bchusd_191129,BCH/USD,Nov19,BCH/USD - Nov19,Pair
fi_bchusd_191227,BCH/USD,Dec19,BCH/USD - Dec19,Pair
fi_bchusd_200131,BCH/USD,Jan20,BCH/USD - Jan20,Pair
fi_bchusd_200228,BCH/USD,Feb20,BCH/USD - Feb20,Pair
fi_bchusd_200327,BCH/USD,Mar20,BCH/USD - Mar20,Pair
fi_bchusd_200424,BCH/USD,Apr20,BCH/USD - Apr20,Pair
fi_bchusd_200529,BCH/USD,May20,BCH/USD - May20,Pair
fi_bchusd_200626,BCH/USD,Jun20,BCH/USD - Jun20,Pair
fi_bchusd_200731,BCH/USD,Jul20,BCH/USD - Jul20,Pair
fi_bchusd_200828,BCH/USD,Aug20,BCH/USD - Aug20,Pair
fi_bchusd_200925,BCH/USD,Sep20,BCH/USD - Sep20,Pair
fi_bchusd_201030,BCH/USD,Oct20,BCH/USD - Oct20,Pair
fi_bchusd_201127,BCH/USD,Nov20,BCH/USD - Nov20,Pair
fi_bchusd_201225,BCH/USD,Dec20,BCH/USD - Dec20,Pair
fi_bchusd_210129,BCH/USD,Jan21,BCH/USD - Jan21,Pair
fi_bchusd_210226,BCH/USD,Feb21,BCH/USD - Feb21,Pair
fi_bchusd_210326,BCH/USD,Mar21,BCH/USD - Mar21,Pair
fi_bchusd_210430,BCH/USD,Apr21,BCH/USD - Apr21,Pair
fi_bchusd_210528,BCH/USD,May21,BCH/USD - May21,Pair
fi_bchusd_210625,BCH/USD,Jun21,BCH/USD - Jun21,Pair
fi_bchusd_210730,BCH/USD,Jul21,BCH/USD - Jul21,Pair
fi_bchusd_210827,BCH/USD,Aug21,BCH/USD - Aug21,Pair
fi_bchusd_210924,BCH/USD,Sep21,BCH/USD - Sep21,Pair
fi_bchusd_211029,BCH/USD,Oct21,BCH/USD - Oct21,Pair
fi_bchusd_211126,BCH/USD,Nov21,BCH/USD - Nov21,Pair
fi_bchusd_211231,BCH/USD,Dec21,BCH/USD - Dec21,Pair
fi_bchusd_220128,BCH/USD,Jan22,BCH/USD - Jan22,Pair
fi_bchusd_220225,BCH/USD,Feb22,BCH/USD - Feb22,Pair
fi_bchusd_220325,BCH/USD,Mar22,BCH/USD - Mar22,Pair
fi_bchusd_220429,BCH/USD,Apr22,BCH/USD - Apr22,Pair
fi_bchusd_220527,BCH/USD,May22,BCH/USD - May22,Pair
fi_bchusd_220624,BCH/USD,Jun22,BCH/USD - Jun22,Pair
fi_bchusd_220729,BCH/USD,Jul22,BCH/USD - Jul22,Pair
fi_bchusd_220826,BCH/USD,Aug22,BCH/USD - Aug22,Pair
fi_bchusd_220930,BCH/USD,Sep22,BCH/USD - Sep22,Pair
fi_bchusd_221028,BCH/USD,Oct22,BCH/USD - Oct22,Pair
fi_bchusd_221125,BCH/USD,Nov22,BCH/USD - Nov22,Pair
fi_bchusd_221230,BCH/USD,Dec22,BCH/USD - Dec22,Pair
fi_bchusd_230127,BCH/USD,Jan23,BCH/USD - Jan23,Pair
fi_bchusd_230224,BCH/USD,Feb23,BCH/USD - Feb23,Pair
fi_bchusd_230331,BCH/USD,Mar23,BCH/USD - Mar23,Pair
fi_bchusd_230428,BCH/USD,Apr23,BCH/USD - Apr23,Pair
fi_bchusd_230526,BCH/USD,May23,BCH/USD - May23,Pair
fi_bchusd_230630,BCH/USD,Jun23,BCH/USD - Jun23,Pair
fi_bchusd_230728,BCH/USD,Jul23,BCH/USD - Jul23,Pair
fi_bchusd_230825,BCH/USD,Aug23,BCH/USD - Aug23,Pair
fi_bchusd_230929,BCH/USD,Sep23,BCH/USD - Sep23,Pair
fi_bchusd_231027,BCH/USD,Oct23,BCH/USD - Oct23,Pair
fi_bchusd_231124,BCH/USD,Nov23,BCH/USD - Nov23,Pair
fi_bchusd_231229,BCH/USD,Dec23,BCH/USD - Dec23,Pair
pi_xrpusd,XRP/USD,Perpetual,XRP/USD - Perpetual,Pair
fi_xrpusd_190830,XRP/USD,Aug19,XRP/USD - Aug19,Pair
fi_xrpusd_190927,XRP/USD,Sep19,XRP/USD - Sep19,Pair
fi_xrpusd_191025,XRP/USD,Oct19,XRP/USD - Oct19,Pair
fi_xrpusd_191129,XRP/USD,Nov19,XRP/USD - Nov19,Pair
fi_xrpusd_191227,XRP/USD,Dec19,XRP/USD - Dec19,Pair
fi_xrpusd_200131,XRP/USD,Jan20,XRP/USD - Jan20,Pair
fi_xrpusd_200228,XRP/USD,Feb20,XRP/USD - Feb20,Pair
fi_xrpusd_200327,XRP/USD,Mar20,XRP/USD - Mar20,Pair
fi_xrpusd_200424,XRP/USD,Apr20,XRP/USD - Apr20,Pair
fi_xrpusd_200529,XRP/USD,May20,XRP/USD - May20,Pair
fi_xrpusd_200626,XRP/USD,Jun20,XRP/USD - Jun20,Pair
fi_xrpusd_200731,XRP/USD,Jul20,XRP/USD - Jul20,Pair
fi_xrpusd_200828,XRP/USD,Aug20,XRP/USD - Aug20,Pair
fi_xrpusd_200925,XRP/USD,Sep20,XRP/USD - Sep20,Pair
fi_xrpusd_201030,XRP/USD,Oct20,XRP/USD - Oct20,Pair
fi_xrpusd_201127,XRP/USD,Nov20,XRP/USD - Nov20,Pair
fi_xrpusd_201225,XRP/USD,Dec20,XRP/USD - Dec20,Pair
fi_xrpusd_210129,XRP/USD,Jan21,XRP/USD - Jan21,Pair
fi_xrpusd_210226,XRP/USD,Feb21,XRP/USD - Feb21,Pair
fi_xrpusd_210326,XRP/USD,Mar21,XRP/USD - Mar21,Pair
fi_xrpusd_210430,XRP/USD,Apr21,XRP/USD - Apr21,Pair
fi_xrpusd_210528,XRP/USD,May21,XRP/USD - May21,Pair
fi_xrpusd_210625,XRP/USD,Jun21,XRP/USD - Jun21,Pair
fi_xrpusd_210730,XRP/USD,Jul21,XRP/USD - Jul21,Pair
fi_xrpusd_210827,XRP/USD,Aug21,XRP/USD - Aug21,Pair
fi_xrpusd_210924,XRP/USD,Sep21,XRP/USD - Sep21,Pair
fi_xrpusd_211029,XRP/USD,Oct21,XRP/USD - Oct21,Pair
fi_xrpusd_211126,XRP/USD,Nov21,XRP/USD - Nov21,Pair
fi_xrpusd_211231,XRP/USD,Dec21,XRP/USD - Dec21,Pair
fi_xrpusd_220128,XRP/USD,Jan22,XRP/USD - Jan22,Pair
