"Bitmex - API name","Name","Contract","Symbol","Classification"
"TRXH23","TRX/BTC","Mar23","TRX/BTC - Mar23","Pair"
"TRXJ23","TRX/BTC","Apr23","TRX/BTC - Apr23","Pair"
"TRXK23","TRX/BTC","May23","TRX/BTC - May23","Pair"
"TRXM23","TRX/BTC","Jun23","TRX/BTC - Jun23","Pair"
"TRXN23","TRX/BTC","Jul23","TRX/BTC - Jul23","Pair"
"TRXQ23","TRX/BTC","Aug23","TRX/BTC - Aug23","Pair"
"TRXU23","TRX/BTC","Sep23","TRX/BTC - Sep23","Pair"
"TRXV23","TRX/BTC","Oct23","TRX/BTC - Oct23","Pair"
"TRXX23","TRX/BTC","Nov23","TRX/BTC - Nov23","Pair"
"TRXZ23","TRX/BTC","Dec23","TRX/BTC - Dec23","Pair"
"LTCN19","LTC/BTC","Jul19","LTC/BTC - Jul19","Pair"
"LTCQ19","LTC/BTC","Aug19","LTC/BTC - Aug19","Pair"
"LTCU19","LTC/BTC","Sep19","LTC/BTC - Sep19","Pair"
"LTCV19","LTC/BTC","Oct19","LTC/BTC - Oct19","Pair"
"LTCX19","LTC/BTC","Nov19","LTC/BTC - Nov19","Pair"
"LTCZ19","LTC/BTC","Dec19","LTC/BTC - Dec19","Pair"
"LTCF20","LTC/BTC","Jan20","LTC/BTC - Jan20","Pair"
"LTCG20","LTC/BTC","Feb20","LTC/BTC - Feb20","Pair"
"LTCH20","LTC/BTC","Mar20","LTC/BTC - Mar20","Pair"
"LTCJ20","LTC/BTC","Apr20","LTC/BTC - Apr20","Pair"
"LTCK20","LTC/BTC","May20","LTC/BTC - May20","Pair"
"LTCM20","LTC/BTC","Jun20","LTC/BTC - Jun20","Pair"
"LTCN20","LTC/BTC","Jul20","LTC/BTC - Jul20","Pair"
"LTCQ20","LTC/BTC","Aug20","LTC/BTC - Aug20","Pair"
"LTCU20","LTC/BTC","Sep20","LTC/BTC - Sep20","Pair"
"LTCV20","LTC/BTC","Oct20","LTC/BTC - Oct20","Pair"
"LTCX20","LTC/BTC","Nov20","LTC/BTC - Nov20","Pair"
"LTCZ20","LTC/BTC","Dec20","LTC/BTC - Dec20","Pair"
"LTCF21","LTC/BTC","Jan21","LTC/BTC - Jan21","Pair"
"LTCG21","LTC/BTC","Feb21","LTC/BTC - Feb21","Pair"
"LTCH21","LTC/BTC","Mar21","LTC/BTC - Mar21","Pair"
"LTCJ21","LTC/BTC","Apr21","LTC/BTC - Apr21","Pair"
"LTCK21","LTC/BTC","May21","LTC/BTC - May21","Pair"
"LTCM21","LTC/BTC","Jun21","LTC/BTC - Jun21","Pair"
"LTCN21","LTC/BTC","Jul21","LTC/BTC - Jul21","Pair"
"LTCQ21","LTC/BTC","Aug21","LTC/BTC - Aug21","Pair"
"LTCU21","LTC/BTC","Sep21","LTC/BTC - Sep21","Pair"
"LTCV21","LTC/BTC","Oct21","LTC/BTC - Oct21","Pair"
"LTCX21","LTC/BTC","Nov21","LTC/BTC - Nov21","Pair"
"LTCZ21","LTC/BTC","Dec21","LTC/BTC - Dec21","Pair"
"LTCF22","LTC/BTC","Jan22","LTC/BTC - Jan22","Pair"
"LTCG22","LTC/BTC","Feb22","LTC/BTC - Feb22","Pair"
"LTCH22","LTC/BTC","Mar22","LTC/BTC - Mar22","Pair"
"LTCJ22","LTC/BTC","Apr22","LTC/BTC - Apr22","Pair"
"LTCK22","LTC/BTC","May22","LTC/BTC - May22","Pair"
"LTCM22","LTC/BTC","Jun22","LTC/BTC - Jun22","Pair"
"LTCN22","LTC/BTC","Jul22","LTC/BTC - Jul22","Pair"
"LTCQ22","LTC/BTC","Aug22","LTC/BTC - Aug22","Pair"
"LTCU22","LTC/BTC","Sep22","LTC/BTC - Sep22","Pair"
"LTCV22","LTC/BTC","Oct22","LTC/BTC - Oct22","Pair"
"LTCX22","LTC/BTC","Nov22","LTC/BTC - Nov22","Pair"
"LTCZ22","LTC/BTC","Dec22","LTC/BTC - Dec22","Pair"
"LTCF23","LTC/BTC","Jan23","LTC/BTC - Jan23","Pair"
"LTCG23","LTC/BTC","Feb23","LTC/BTC - Feb23","Pair"
"LTCH23","LTC/BTC","Mar23","LTC/BTC - Mar23","Pair"
"LTCJ23","LTC/BTC","Apr23","LTC/BTC - Apr23","Pair"
"LTCK23","LTC/BTC","May23","LTC/BTC - May23","Pair"
"LTCM23","LTC/BTC","Jun23","LTC/BTC - Jun23","Pair"
"LTCN23","LTC/BTC","Jul23","LTC/BTC - Jul23","Pair"
"LTCQ23","LTC/BTC","Aug23","LTC/BTC - Aug23","Pair"
"LTCU23","LTC/BTC","Sep23","LTC/BTC - Sep23","Pair"
"LTCV23","LTC/BTC","Oct23","LTC/BTC - Oct23","Pair"
"LTCX23","LTC/BTC","Nov23","LTC/BTC - Nov23","Pair"
"LTCZ23","LTC/BTC","Dec23","LTC/BTC - Dec23","Pair"
