"symbol","pair","expiry","nomismaSymbol","classification"
"ETH/USD - 31 Jul 2020","ETH/USD","Jul20","ETH/USD - Jul20","Pair"
"ETH/USD - 28 Aug 2020","ETH/USD","Aug20","ETH/USD - Aug20","Pair"
"ETH/USD - 25 Sep 2020","ETH/USD","Sep20","ETH/USD - Sep20","Pair"
"ETH/USD - 30 Oct 2020","ETH/USD","Oct20","ETH/USD - Oct20","Pair"
"ETH/USD - 27 Nov 2020","ETH/USD","Nov20","ETH/USD - Nov20","Pair"
"ETH/USD - 25 Dec 2020","ETH/USD","Dec20","ETH/USD - Dec20","Pair"
"ETH/USD - 29 Jan 2021","ETH/USD","Jan21","ETH/USD - Jan21","Pair"
"ETH/USD - 26 Feb 2021","ETH/USD","Feb21","ETH/USD - Feb21","Pair"
"ETH/USD - 26 Mar 2021","ETH/USD","Mar21","ETH/USD - Mar21","Pair"
"ETH/USD - 30 Apr 2021","ETH/USD","Apr21","ETH/USD - Apr21","Pair"
"ETH/USD - 28 May 2021","ETH/USD","May21","ETH/USD - May21","Pair"
"ETH/USD - 25 Jun 2021","ETH/USD","Jun21","ETH/USD - Jun21","Pair"
"ETH/USD - 30 Jul 2021","ETH/USD","Jul21","ETH/USD - Jul21","Pair"
"ETH/USD - 27 Aug 2021","ETH/USD","Aug21","ETH/USD - Aug21","Pair"
"ETH/USD - 24 Sep 2021","ETH/USD","Sep21","ETH/USD - Sep21","Pair"
"ETH/USD - 29 Oct 2021","ETH/USD","Oct21","ETH/USD - Oct21","Pair"
"ETH/USD - 26 Nov 2021","ETH/USD","Nov21","ETH/USD - Nov21","Pair"
"ETH/USD - 31 Dec 2021","ETH/USD","Dec21","ETH/USD - Dec21","Pair"
"ETH/USD - 28 Jan 2022","ETH/USD","Jan22","ETH/USD - Jan22","Pair"
"ETH/USD - 25 Feb 2022","ETH/USD","Feb22","ETH/USD - Feb22","Pair"
"ETH/USD - 25 Mar 2022","ETH/USD","Mar22","ETH/USD - Mar22","Pair"
"ETH/USD - 29 Apr 2022","ETH/USD","Apr22","ETH/USD - Apr22","Pair"
"ETH/USD - 27 May 2022","ETH/USD","May22","ETH/USD - May22","Pair"
"ETH/USD - 24 Jun 2022","ETH/USD","Jun22","ETH/USD - Jun22","Pair"
"ETH/USD - 29 Jul 2022","ETH/USD","Jul22","ETH/USD - Jul22","Pair"
"ETH/USD - 26 Aug 2022","ETH/USD","Aug22","ETH/USD - Aug22","Pair"
