Deribit API symbol,Name,Contract,Symbol - Nomisma,Classification
ETH-26Nov21,ETH/USD,Nov21,ETH/USD - Nov21,Pair
ETH-31Dec21,ETH/USD,Dec21,ETH/USD - Dec21,Pair
ETH-28Jan22,ETH/USD,Jan22,ETH/USD - Jan22,Pair
ETH-25Feb22,ETH/USD,Feb22,ETH/USD - Feb22,Pair
ETH-25Mar22,ETH/USD,Mar22,ETH/USD - Mar22,Pair
ETH-29Apr22,ETH/USD,Apr22,ETH/USD - Apr22,Pair
ETH-27May22,ETH/USD,May22,ETH/USD - May22,Pair
ETH-24Jun22,ETH/USD,Jun22,ETH/USD - Jun22,Pair
ETH-29Jul22,ETH/USD,Jul22,ETH/USD - Jul22,Pair
ETH-26Aug22,ETH/USD,Aug22,ETH/USD - Aug22,Pair
ETH-30Sep22,ETH/USD,Sep22,ETH/USD - Sep22,Pair
ETH-28Oct22,ETH/USD,Oct22,ETH/USD - Oct22,Pair
ETH-25Nov22,ETH/USD,Nov22,ETH/USD - Nov22,Pair
ETH-30Dec22,ETH/USD,Dec22,ETH/USD - Dec22,Pair
ETH-27Jan23,ETH/USD,Jan23,ETH/USD - Jan23,Pair
ETH-24Feb23,ETH/USD,Feb23,ETH/USD - Feb23,Pair
ETH-31Mar23,ETH/USD,Mar23,ETH/USD - Mar23,Pair
ETH-28Apr23,ETH/USD,Apr23,ETH/USD - Apr23,Pair
ETH-26May23,ETH/USD,May23,ETH/USD - May23,Pair
ETH-30Jun23,ETH/USD,Jun23,ETH/USD - Jun23,Pair
ETH-28Jul23,ETH/USD,Jul23,ETH/USD - Jul23,Pair
ETH-25Aug23,ETH/USD,Aug23,ETH/USD - Aug23,Pair
ETH-29Sep23,ETH/USD,Sep23,ETH/USD - Sep23,Pair
ETH-27Oct23,ETH/USD,Oct23,ETH/USD - Oct23,Pair
ETH-24Nov23,ETH/USD,Nov23,ETH/USD - Nov23,Pair
ETH-29Dec23,ETH/USD,Dec23,ETH/USD - Dec23,Pair
